Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
702898,Pakistan,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS085406
703063,Pakistan,2010,aEPEC,121,CG121,cluster_26,selC,30,ERS139259
703108,Pakistan,2010,aEPEC,2678,cluster_72,cluster_72,selC,30,ERS139237
703128,Pakistan,2010,aEPEC,382,cluster_2,cluster_2,selC,15,ERS139238
703258,Pakistan,2010,aEPEC,328,CG328,cluster_3,pheU,8,ERS085380
703273,Pakistan,2010,aEPEC,NF*,cluster_33,cluster_33,selC,28,ERS139241
703753,Pakistan,2010,aEPEC,29*,CG29,cluster_56,CQ,CQ,ERS139239
703975,Pakistan,2010,aEPEC,29,CG29,cluster_7,pheV,11,ERS085381
100788-1A,Gambia,2008,aEPEC,29,CG29,cluster_7,pheU,8,ERS150876
203092-3A,Mali,2009,aEPEC,2089,cluster_16,cluster_16,selC,9,ERS150906
203092-3B,Mali,2009,aEPEC,2089,cluster_16,cluster_16,selC,9,ERS150882
302583-2A,Mozambique,NS,aEPEC,381,cluster_24,cluster_24,selC,21,ERS150883
302583-2B,Mozambique,NS,aEPEC,328,CG328,cluster_3,pheV,8,ERS150987
500297-1,India,2008,aEPEC,40,CG40,cluster_27,pheV,8,ERS150905
702074-1,Pakistan,2009,GEMStEPEC,3,CG3,cluster_4,CQ,CQ,ERS150879
702074-2,Pakistan,2009,aEPEC,121,CG121,cluster_26,selC,30,ERS150880
536,NS,NS,NS,*4727,cluster_30,cluster_30,CQ,CQ,NC_008253
11128,Japan,2001,nO157EHEC,16,CG29,cluster_7,pheV,12,NC_013364
11368,Japan,2001,nO157EHEC,21,CG29,cluster_7,pheU,8,NC_013361
12009,Japan,2001,nO157EHEC,17,CG3,cluster_4,pheV,6,NC_013353
53638,USA,NS,NS,6,cluster_46,cluster_46,NoLEE,NoLEE,AAKB00000000
55989,CAR,1996,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,NC_011748
155388,Australia,NS,aEPEC ref,28,CG121,cluster_26,selC,30,ERS139240
101-1 ,NS,NS,NS,4727,cluster_43,cluster_43,CQ,CQ,AAMK00000000
2009EL,Georgia,2009,NS,0,cluster_29,cluster_29,NoLEE,NoLEE,CP003297
2362-75,USA,NS,tEPEC,*4728,CG4728,cluster_6,selC,27,ADUL01000000
86-24,USA,NS,O157EHEC,11,CG11,cluster_11,selC,10,AIAK00000000
ABU83972,NS,NS,NS,73,cluster_22,cluster_22,NoLEE,NoLEE,NC_017631
APEC_O78,NS,NS,NS,23,cluster_84,cluster_84,NoLEE,NoLEE, CP004009
APEC01,USA,NS,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC_008563
ATCC8739,USA,NS,NS,3021,cluster_52,cluster_52,NoLEE,NoLEE,NC_010468
B_REL606,NS,1918,NS,93,cluster_13,cluster_13,NoLEE,NoLEE,NC_012967
B171,USA,NS,tEPEC,3,CG3,cluster_4,pheV,8,AAJX00000000
B7A,Vietnam,NS,NS,94,cluster_74,cluster_74,NoLEE,NoLEE,AAJT02000000
