"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5611717,ERS357518,11658_4#49,ERR434691
2796STDY5611740,ERS357541,11658_4#50,ERR434692
2796STDY5611743,ERS357544,11658_4#51,ERR434693
2796STDY5611744,ERS357545,11658_4#52,ERR434694
2796STDY5611757,ERS357558,11658_4#53,ERR434695
2796STDY5611758,ERS357559,11658_4#54,ERR434696
2796STDY5611762,ERS357563,11658_4#55,ERR434697
2796STDY5611771,ERS357572,11658_4#56,ERR434698
2796STDY5611775,ERS357575,11658_4#57,ERR434699
2796STDY5611780,ERS357580,11658_4#58,ERR434700
2796STDY5611834,ERS357634,11658_4#59,ERR434701
2796STDY5611838,ERS357638,11658_4#60,ERR434702
2796STDY5611847,ERS357647,11658_4#61,ERR434703
2796STDY5611881,ERS357678,11658_4#62,ERR434704
2796STDY5611902,ERS357699,11658_4#63,ERR434705
2796STDY5611944,ERS357741,11658_4#64,ERR434706
2796STDY5612005,ERS357798,11658_4#65,ERR434707
2796STDY5612009,ERS357802,11658_4#66,ERR434708
2796STDY5612021,ERS357814,11658_4#67,ERR434709
2796STDY5612033,ERS357825,11658_4#68,ERR434710
2796STDY5612077,ERS357861,11658_4#69,ERR434711
2796STDY5612086,ERS357870,11658_4#70,ERR434712
2796STDY5612090,ERS357874,11658_4#71,ERR434713
2796STDY5612097,ERS357881,11658_4#72,ERR434714
2796STDY5612102,ERS357886,11658_4#73,ERR434715
2796STDY5612136,ERS357920,11658_4#74,ERR434716
2796STDY5612149,ERS357933,11658_4#75,ERR434717
2796STDY5612153,ERS357937,11658_4#76,ERR434718
2796STDY5612155,ERS357939,11658_4#77,ERR434719
2796STDY5612170,ERS357953,11658_4#78,ERR434720
2796STDY5612172,ERS357955,11658_4#79,ERR434721
2796STDY5612178,ERS357961,11658_4#80,ERR434722
2796STDY5612185,ERS357968,11658_4#81,ERR434723
2796STDY5612195,ERS357978,11658_4#82,ERR434724
2796STDY5612198,ERS357981,11658_4#83,ERR434725
2796STDY5612201,ERS357984,11658_4#84,ERR434726
2796STDY5612205,ERS357988,11658_4#85,ERR434727
2796STDY5612212,ERS357995,11658_4#86,ERR434728
2796STDY5612233,ERS358016,11658_4#87,ERR434729
2796STDY5612236,ERS358019,11658_4#88,ERR434730
2796STDY5612249,ERS358032,11658_4#89,ERR434731
2796STDY5612308,ERS358090,11658_4#90,ERR434732
2796STDY5612319,ERS358101,11658_4#91,ERR434733
2796STDY5612329,ERS358111,11658_4#92,ERR434734
2796STDY5612345,ERS358127,11658_4#93,ERR434735
2796STDY5612350,ERS358131,11658_4#94,ERR434736
2796STDY5612416,ERS358197,11658_4#95,ERR434737
2796STDY5612440,ERS358221,11658_4#96,ERR434738
2796STDY5610913,ERS356743,11658_5#1,ERR434739
2796STDY5610914,ERS356744,11658_5#2,ERR434740
2796STDY5610916,ERS356746,11658_5#3,ERR434741
2796STDY5610918,ERS356748,11658_5#4,ERR434742
2796STDY5610922,ERS356752,11658_5#5,ERR434743
2796STDY5610932,ERS356762,11658_5#6,ERR434744
2796STDY5610933,ERS356763,11658_5#7,ERR434745
2796STDY5610934,ERS356764,11658_5#8,ERR434746
2796STDY5610939,ERS356769,11658_5#9,ERR434747
2796STDY5610943,ERS356773,11658_5#10,ERR434748
2796STDY5610945,ERS356775,11658_5#11,ERR434749
2796STDY5610953,ERS356783,11658_5#12,ERR434750
2796STDY5610955,ERS356785,11658_5#13,ERR434751
2796STDY5610957,ERS356787,11658_5#14,ERR434752
2796STDY5610971,ERS356801,11658_5#15,ERR434753
2796STDY5610982,ERS356812,11658_5#16,ERR434754
2796STDY5610992,ERS356822,11658_5#17,ERR434755
2796STDY5610993,ERS356823,11658_5#18,ERR434756
2796STDY5611001,ERS356831,11658_5#19,ERR434757
2796STDY5611009,ERS356838,11658_5#20,ERR434758
2796STDY5611010,ERS356839,11658_5#21,ERR434759
2796STDY5611011,ERS356840,11658_5#22,ERR434760
