identifier,reads,source
esc_ca4196aa_as,SRR1981495,enterobase
esc_pa0789aa_as,SRR5909614,enterobase
esc_sa5307aa_as,SRR7282657,enterobase
esc_na9923aa_as,SRR5666419,enterobase
esc_sa2308aa_as,SRR7187785,enterobase
esc_ia1261aa_as,SRR4181526,enterobase
esc_ga8832aa_as,SRR3574270,enterobase
esc_na3119aa_as,SRR5494794,enterobase
esc_ga9206aa_as,SRR3578642,enterobase
esc_ja3815aa_as,SRR4897180,enterobase
esc_ia6996aa_as,SRR4340506,enterobase
esc_sa5365aa_as,SRR7283822,enterobase
esc_ja5572aa_as,SRR5006383,enterobase
esc_ca0850aa_as,SRR785868,enterobase
esc_ca0850aa_as,SRR785869,enterobase
esc_ca0850aa_as,SRR958554,enterobase
esc_ca0850aa_as,SRR958555,enterobase
esc_ga8484aa_as,SRR3530412,enterobase
esc_pa0769aa_as,SRR5904105,enterobase
esc_sa1942aa_as,SRR7184232,enterobase
esc_pa5053aa_as,SRR6051872,enterobase
esc_ga0149aa_as,SRR3113867,enterobase
esc_ra9293aa_as,SRR7012167,enterobase
esc_ra9293aa_as,SRR7947402,enterobase
esc_sa5093aa_as,SRR7277726,enterobase
esc_ga9671aa_as,SRR3606758,enterobase
esc_ja4361aa_as,SRR4786060,enterobase
esc_sa7336aa_as,SRR7417188,enterobase
esc_ja5079aa_as,SRR5006064,enterobase
esc_sa3544aa_as,SRR7230299,enterobase
esc_ja3786aa_as,SRR4897112,enterobase
esc_ja9034aa_as,SRR5023812,enterobase
esc_pa5567aa_as,SRR6053003,enterobase
esc_ja4475aa_as,SRR4787183,enterobase
esc_ja4787aa_as,SRR4788224,enterobase
esc_ja4630aa_as,SRR4787760,enterobase
esc_ba6088aa_as,SRR1981174,enterobase
esc_ba8776aa_as,SRR1982015,enterobase
esc_sa2331aa_as,SRR7187858,enterobase
esc_ba4045aa_as,ERR161250,enterobase
esc_ja4735aa_as,SRR4788111,enterobase
esc_ca2165aa_as,ERR161273,enterobase
esc_sa5121aa_as,SRR7277790,enterobase
esc_ba9444aa_as,SRR1981963,enterobase
esc_qa2871aa_as,SRR6185856,enterobase
esc_ga9322aa_as,SRR3578933,enterobase
esc_sa4315aa_as,SRR7251006,enterobase
esc_sa1833aa_as,SRR7179858,enterobase
esc_ja8451aa_as,SRR5023685,enterobase
esc_ra4301aa_as,SRR6667883,enterobase
esc_sa2231aa_as,SRR7186905,enterobase
esc_sa6787aa_as,SRR7367388,enterobase
esc_ja3985aa_as,SRR4897573,enterobase
esc_ca5348aa_as,SRR633694,enterobase
esc_ca5348aa_as,SRR633937,enterobase
esc_ca5348aa_as,SRR647264,enterobase
esc_ca5348aa_as,SRR647333,enterobase
esc_pa5424aa_as,SRR6052795,enterobase
esc_ka3967aa_as,SRR5017314,enterobase
esc_ja4689aa_as,SRR4787873,enterobase
esc_ra0311aa_as,SRR6325149,enterobase
esc_sa5067aa_as,SRR7276922,enterobase
esc_pa5169aa_as,SRR6051996,enterobase
esc_ia1449aa_as,SRR4184715,enterobase
esc_sa3240aa_as,SRR7223033,enterobase
esc_ca1820aa_as,SRR1785811,enterobase
esc_ca1820aa_as,SRR1785985,enterobase
esc_ca1820aa_as,SRR1795958,enterobase
esc_ca1820aa_as,SRR1795965,enterobase
esc_ga3676aa_as,SRR3241841,enterobase
esc_sa5903aa_as,SRR7286587,enterobase
esc_ga8912aa_as,SRR3581333,enterobase
esc_sa3775aa_as,SRR7236595,enterobase
esc_sa4850aa_as,SRR7270950,enterobase
esc_pa5110aa_as,SRR6051934,enterobase
esc_ja3877aa_as,SRR4897307,enterobase
esc_pa4924aa_as,SRR6051815,enterobase
esc_ka3904aa_as,SRR5023675,enterobase
esc_pa5306aa_as,SRR6052165,enterobase
esc_ja4717aa_as,SRR4788041,enterobase
esc_pa4944aa_as,SRR6051846,enterobase
esc_sa2249aa_as,SRR7186940,enterobase
esc_ca3910aa_as,ERR191708,enterobase
esc_sa6925aa_as,SRR7401638,enterobase
esc_ca3553aa_as,SRR770093,enterobase
esc_ca3553aa_as,SRR784077,enterobase
esc_ca3553aa_as,SRR958238,enterobase
esc_ca3553aa_as,SRR958239,enterobase
esc_ha2675aa_as,SRR3742253,enterobase
esc_ja7955aa_as,SRR5017285,enterobase
esc_sa3558aa_as,SRR7230327,enterobase
esc_ra4310aa_as,SRR6668038,enterobase
esc_sa2887aa_as,SRR7215506,enterobase
esc_ga3651aa_as,SRR3240985,enterobase
esc_la5807aa_as,SRR5330929,enterobase
esc_pa5139aa_as,SRR6051964,enterobase
esc_ba7641aa_as,SRR770134,enterobase
esc_ba7641aa_as,SRR784334,enterobase
esc_ba7641aa_as,SRR958315,enterobase
esc_ba7641aa_as,SRR958316,enterobase
esc_ra7092aa_as,SRR6816954,enterobase
esc_ba8236aa_as,SRR2014864,enterobase
esc_ga8810aa_as,SRR3574248,enterobase
esc_ra3554aa_as,SRR6487129,enterobase
esc_sa4372aa_as,SRR7251488,enterobase
esc_sa6119aa_as,SRR7291009,enterobase
esc_qa2310aa_as,SRR6180871,enterobase
esc_ba2622aa_as,ERR191712,enterobase
esc_ba1103aa_as,SRR1981052,enterobase
esc_ja4803aa_as,SRR4788251,enterobase
esc_ba9542aa_as,SRR1981996,enterobase
esc_pa0782aa_as,SRR5909606,enterobase
esc_la1455aa_as,SRR5185393,enterobase
esc_ia2276aa_as,SRR4263663,enterobase
esc_ia1228aa_as,SRR4181469,enterobase
esc_ja9283aa_as,SRR5024203,enterobase
esc_sa2790aa_as,SRR7208760,enterobase
esc_sa4459aa_as,SRR7256988,enterobase
esc_ra4983aa_as,SRR6728090,enterobase
esc_ga8940aa_as,SRR3581368,enterobase
esc_pa5439aa_as,SRR6052811,enterobase
esc_ia1259aa_as,SRR4181523,enterobase
esc_sa6757aa_as,SRR7367358,enterobase
esc_ga8837aa_as,SRR3574275,enterobase
esc_ha7276aa_as,SRR3715597,enterobase
esc_ja3748aa_as,SRR4897048,enterobase
esc_ra3622aa_as,SRR6491049,enterobase
esc_ra3622aa_as,SRR7608329,enterobase
esc_ra3622aa_as,SRR7690508,enterobase
esc_ba2529aa_as,ERR161266,enterobase
esc_ka3965aa_as,SRR5017322,enterobase
esc_ba9338aa_as,SRR786009,enterobase
esc_ba9338aa_as,SRR786010,enterobase
esc_ba9338aa_as,SRR958578,enterobase
esc_ba9338aa_as,SRR958579,enterobase
esc_ha2665aa_as,SRR3742241,enterobase
esc_fa8443aa_as,SRR3040534,enterobase
esc_ra7764aa_as,SRR6825083,enterobase
esc_ha3277aa_as,SRR3773572,enterobase
esc_sa6743aa_as,SRR7367227,enterobase
esc_ca4350aa_as,SRR770125,enterobase
esc_ca4350aa_as,SRR784265,enterobase
esc_ca4350aa_as,SRR958301,enterobase
esc_ca4350aa_as,SRR958302,enterobase
esc_ga8503aa_as,SRR3531889,enterobase
esc_sa4151aa_as,SRR7249515,enterobase
esc_ja9452aa_as,SRR5024457,enterobase
esc_ga9219aa_as,SRR3578658,enterobase
esc_ca6406aa_as,SRR2015108,enterobase
esc_ga8973aa_as,SRR3581419,enterobase
esc_sa1348aa_as,SRR7163901,enterobase
esc_ra1383aa_as,SRR6354180,enterobase
esc_ha1946aa_as,SRR1283287,enterobase
esc_sa7071aa_as,SRR7407947,enterobase
esc_pa5282aa_as,SRR6052114,enterobase
esc_ja4099aa_as,SRR4897790,enterobase
esc_ja3740aa_as,SRR4897011,enterobase
esc_ka1124aa_as,SRR5034895,enterobase
esc_ga0461aa_as,SRR3146363,enterobase
esc_sa6160aa_as,SRR7291581,enterobase
esc_na8803aa_as,SRR5605998,enterobase
esc_sa9072aa_as,SRR7474044,enterobase
esc_sa4036aa_as,SRR7244314,enterobase
esc_ja7999aa_as,SRR5023695,enterobase
esc_la5726aa_as,SRR5330830,enterobase
esc_ra7285aa_as,SRR6825175,enterobase
esc_pa5253aa_as,SRR6052083,enterobase
esc_sa7812aa_as,SRR7457841,enterobase
esc_ha3950aa_as,SRR2177979,enterobase
esc_pa5178aa_as,SRR6052005,enterobase
esc_sa2334aa_as,SRR7187863,enterobase
esc_pa5608aa_as,SRR6053044,enterobase
esc_sa5899aa_as,SRR7286581,enterobase
esc_sa3317aa_as,SRR7223142,enterobase
esc_ja4482aa_as,SRR4787205,enterobase
esc_ja4129aa_as,SRR4897839,enterobase
esc_ia1640aa_as,SRR4194029,enterobase
esc_la5730aa_as,SRR5330834,enterobase
esc_ha0201aa_as,SRR3657577,enterobase
esc_ja5580aa_as,SRR5006410,enterobase
esc_ia2281aa_as,SRR4263657,enterobase
esc_sa3171aa_as,SRR7221198,enterobase
esc_ja8930aa_as,SRR5023917,enterobase
esc_ra7537aa_as,SRR6814043,enterobase
esc_ra1884aa_as,SRR6374549,enterobase
esc_sa5802aa_as,SRR7285612,enterobase
esc_sa6763aa_as,SRR7367367,enterobase
esc_pa5461aa_as,SRR6052835,enterobase
esc_ka3889aa_as,SRR5023733,enterobase
esc_ca2953aa_as,SRR770090,enterobase
esc_ca2953aa_as,SRR784050,enterobase
esc_ca2953aa_as,SRR958226,enterobase
esc_ca2953aa_as,SRR958227,enterobase
esc_sa3796aa_as,SRR7236647,enterobase
esc_ka5748aa_as,SRR5033667,enterobase
esc_ba7418aa_as,SRR1570036,enterobase
esc_ba7418aa_as,SRR1570182,enterobase
esc_ha5460aa_as,SRR3068688,enterobase
esc_pa2486aa_as,SRR6001193,enterobase
esc_ja3915aa_as,SRR4897398,enterobase
esc_pa5202aa_as,SRR6052029,enterobase
esc_aa9739aa_as,ERR191655,enterobase
esc_sa1853aa_as,SRR7180037,enterobase
esc_sa5830aa_as,SRR7286371,enterobase
esc_ia1469aa_as,SRR4184817,enterobase
esc_ga9459aa_as,SRR3579403,enterobase
esc_ha6178aa_as,SRR3883032,enterobase
esc_ca5033aa_as,SRR1981102,enterobase
esc_ba2127aa_as,ERR191665,enterobase
esc_sa4174aa_as,SRR7249753,enterobase
esc_ca0598aa_as,SRR1981019,enterobase
esc_sa5106aa_as,SRR7277748,enterobase
esc_pa9507aa_as,SRR6144109,enterobase
esc_sa1369aa_as,SRR7163937,enterobase
esc_pa2774aa_as,SRR6001157,enterobase
esc_sa6733aa_as,SRR7367206,enterobase
esc_ga8848aa_as,SRR3574286,enterobase
esc_sa6951aa_as,SRR7401698,enterobase
esc_ca6343aa_as,SRR770092,enterobase
esc_ca6343aa_as,SRR784054,enterobase
esc_ca6343aa_as,SRR958235,enterobase
esc_ca6343aa_as,SRR958236,enterobase
esc_ja8124aa_as,SRR5017711,enterobase
esc_ja4088aa_as,SRR4897769,enterobase
esc_ja4793aa_as,SRR4788235,enterobase
esc_ja4728aa_as,SRR4788090,enterobase
esc_ja4453aa_as,SRR4787074,enterobase
esc_ga8801aa_as,SRR3574239,enterobase
esc_ba4140aa_as,SRR1981492,enterobase
esc_ca2868aa_as,SRR770146,enterobase
esc_ca2868aa_as,SRR784451,enterobase
esc_ca2868aa_as,SRR958356,enterobase
esc_ca2868aa_as,SRR958357,enterobase
esc_ga8051aa_as,SRR3545389,enterobase
esc_ca4499aa_as,SRR1180881,enterobase
esc_ca4499aa_as,SRR1181039,enterobase
esc_ca4499aa_as,SRR1187741,enterobase
esc_ca4499aa_as,SRR1187834,enterobase
esc_qa3622aa_as,SRR6222303,enterobase
esc_ra5205aa_as,SRR6743503,enterobase
esc_ga3659aa_as,SRR3241110,enterobase
esc_sa4337aa_as,SRR7251419,enterobase
esc_ha8766aa_as,SRR3989745,enterobase
esc_pa5531aa_as,SRR6052912,enterobase
esc_pa0781aa_as,SRR5909605,enterobase
esc_ja3922aa_as,SRR4897415,enterobase
esc_ka2185aa_as,SRR5024509,enterobase
esc_na8670aa_as,SRR5588544,enterobase
esc_ca0605aa_as,SRR639939,enterobase
esc_ca0605aa_as,SRR640013,enterobase
esc_ca0605aa_as,SRR641799,enterobase
esc_ca0605aa_as,SRR642279,enterobase
esc_ka3866aa_as,SRR5023914,enterobase
esc_sa3153aa_as,SRR7221039,enterobase
