"Sample name","Sample accession","Lane name","Lane accession"
3380STDY6001638,ERS575871,14937_7#66,ERR776033
3380STDY6001639,ERS575873,14937_7#67,ERR776034
3380STDY6001640,ERS575875,14937_7#68,ERR776035
3380STDY6001652,ERS575900,14937_7#80,ERR776047
3380STDY6001655,ERS575907,14937_7#83,ERR776050
3380STDY6001656,ERS575909,14937_7#84,ERR776051
3380STDY6001751,ERS575918,14937_8#6,ERR776059
3380STDY6001755,ERS575926,14937_8#10,ERR776060
3380STDY6001757,ERS575930,14937_8#12,ERR776062
3380STDY6001761,ERS575938,14937_8#16,ERR776066
3380STDY6001765,ERS575945,14937_8#20,ERR776070
3380STDY6001769,ERS575953,14937_8#24,ERR776074
3380STDY6001779,ERS575972,14937_8#33,ERR776083
3380STDY6001785,ERS575984,14937_8#38,ERR776088
3380STDY6001787,ERS575988,14937_8#40,ERR776090
3380STDY6001788,ERS575990,14937_8#41,ERR776091
3380STDY6001789,ERS575991,14937_8#42,ERR776092
3380STDY6001792,ERS575996,14937_8#44,ERR776094
3380STDY6001793,ERS575998,14937_8#45,ERR776095
3380STDY6001794,ERS576000,14937_8#46,ERR776096
3380STDY6001823,ERS576026,14937_8#47,ERR776097
3380STDY6001824,ERS576027,14937_8#48,ERR776098
3380STDY6001825,ERS576028,14937_8#49,ERR776099
3380STDY6001826,ERS576029,14937_8#50,ERR776100
3380STDY6001827,ERS576030,14937_8#51,ERR776101
3380STDY6001829,ERS576033,14937_8#52,ERR776102
3380STDY6001832,ERS576039,14937_8#54,ERR776104
3380STDY6001833,ERS576041,14937_8#55,ERR776105
3380STDY6001834,ERS576043,14937_8#56,ERR776106
3380STDY6001837,ERS576048,14937_8#58,ERR776108
3380STDY6001838,ERS576050,14937_8#59,ERR776109
3380STDY6001839,ERS576052,14937_8#60,ERR776110
3380STDY6001840,ERS576054,14937_8#61,ERR776111
3380STDY6001841,ERS576056,14937_8#62,ERR780254
3380STDY6001842,ERS576058,14937_8#63,ERR780255
3380STDY6001845,ERS576063,14937_8#64,ERR780256
3380STDY6001846,ERS576065,14937_8#65,ERR780257
3380STDY6001847,ERS576067,14937_8#66,ERR780258
3380STDY6001848,ERS576069,14937_8#67,ERR780259
3380STDY6001849,ERS576071,14937_8#68,ERR780260
3380STDY6001851,ERS576075,14937_8#69,ERR780261
3380STDY6001852,ERS576077,14937_8#70,ERR780262
3380STDY6001854,ERS576080,14937_8#71,ERR780263
3380STDY6001857,ERS576086,14937_8#72,ERR780264
3380STDY6001858,ERS576088,14937_8#73,ERR780265
3380STDY6001862,ERS576097,14937_8#74,ERR780266
3380STDY6001865,ERS576102,14937_8#75,ERR780267
3380STDY6001867,ERS576106,14937_8#76,ERR780268
3380STDY6001868,ERS576108,14937_8#77,ERR780269
3380STDY6001869,ERS576111,14937_8#78,ERR780270
3380STDY6001870,ERS576113,14937_8#79,ERR780271
3380STDY6001871,ERS576114,14937_8#80,ERR780272
3380STDY6001872,ERS576117,14937_8#81,ERR780273
3380STDY6001874,ERS576120,14937_8#83,ERR780275
3380STDY6001875,ERS576122,14937_8#84,ERR780276
3380STDY6001877,ERS576126,14937_8#85,ERR780277
3380STDY6001878,ERS576128,14937_8#86,ERR780278
3380STDY6001879,ERS576130,15056_3#1,ERR830474
3380STDY6001880,ERS576132,15056_3#2,ERR830475
3380STDY6001881,ERS576134,15056_3#3,ERR830476
3380STDY6001884,ERS576139,15056_3#4,ERR830477
3380STDY6001885,ERS576141,15056_3#5,ERR830478
3380STDY6001886,ERS576143,15056_3#6,ERR830479
3380STDY6001887,ERS576145,15056_3#7,ERR830480
3380STDY6001888,ERS576147,15056_3#8,ERR830481
3380STDY6001889,ERS576149,15056_3#9,ERR830482
3380STDY6001891,ERS576153,15056_3#10,ERR830483
3380STDY6001892,ERS576155,15056_3#11,ERR830484
3380STDY6001893,ERS576157,15056_3#12,ERR830485
3380STDY6001894,ERS576159,15056_3#13,ERR830486
3380STDY6001895,ERS576161,15056_3#14,ERR830487
3380STDY6001896,ERS576163,15056_3#15,ERR830488
3380STDY6001899,ERS576169,15056_3#16,ERR830489
3380STDY6001900,ERS576171,15056_3#17,ERR830490
3380STDY6001901,ERS576173,15056_3#18,ERR830491
3380STDY6001902,ERS576175,15056_3#19,ERR830492
3380STDY6001903,ERS576177,15056_3#20,ERR830493
3380STDY6001904,ERS576179,15056_3#21,ERR830494
3380STDY6001905,ERS576181,15056_3#22,ERR830495
3380STDY6001906,ERS576188,15056_3#23,ERR830496
3380STDY6001907,ERS576189,15056_3#24,ERR830497
3380STDY6001909,ERS576193,15056_3#26,ERR830499
3380STDY6001910,ERS576195,15056_3#27,ERR830500
3380STDY6001911,ERS576197,15056_3#28,ERR830501
3380STDY6001912,ERS576199,15056_3#29,ERR830502
3380STDY6001913,ERS576201,15056_3#30,ERR830503
3380STDY6001914,ERS576203,15056_3#31,ERR830504
3380STDY6001915,ERS576204,15056_3#32,ERR830505
3380STDY6001918,ERS576032,15056_3#33,ERR830506
3380STDY6001920,ERS576036,15056_3#35,ERR830508
3380STDY6001921,ERS576038,15056_3#36,ERR830509
3380STDY6001922,ERS576040,15056_3#37,ERR830510
3380STDY6001923,ERS576042,15056_3#38,ERR830511
3380STDY6001924,ERS576044,15056_3#39,ERR830512
3380STDY6001925,ERS576047,15056_3#40,ERR830513
3380STDY6001926,ERS576049,15056_3#41,ERR830514
3380STDY6001927,ERS576051,15056_3#42,ERR830515
3380STDY6001928,ERS576053,15056_3#43,ERR830516
3380STDY6001929,ERS576055,15056_3#44,ERR830517
3380STDY6001930,ERS576057,15056_3#45,ERR830518
3380STDY6001931,ERS576059,15056_3#46,ERR830519
3380STDY6001932,ERS576062,15056_3#47,ERR830520
3380STDY6001933,ERS576064,15056_3#48,ERR830521
3380STDY6001934,ERS576066,15056_3#49,ERR830522
3380STDY6001935,ERS576068,15056_3#50,ERR830523
3380STDY6001936,ERS576070,15056_3#51,ERR830524
3380STDY6001937,ERS576072,15056_3#52,ERR830525
3380STDY6001938,ERS576074,15056_3#53,ERR830526
3380STDY6001939,ERS576076,15056_3#54,ERR830527
3380STDY6001940,ERS576079,15056_3#55,ERR830528
3380STDY6001941,ERS576081,15056_3#56,ERR830529
3380STDY6001942,ERS576083,15056_3#57,ERR830530
3380STDY6001943,ERS576084,15056_3#58,ERR830531
3380STDY6001944,ERS576087,15056_3#59,ERR830532
3380STDY6001946,ERS576091,15056_3#61,ERR830534
3380STDY6001947,ERS576092,15056_3#62,ERR830535
3380STDY6001949,ERS576096,15056_3#64,ERR830537
3380STDY6001951,ERS576101,15056_3#66,ERR830539
3380STDY6001952,ERS576103,15056_3#67,ERR830540
3380STDY6001953,ERS576104,15056_3#68,ERR830541
3380STDY6001954,ERS576107,15056_3#69,ERR830542
3380STDY6001955,ERS576109,15056_3#70,ERR830543
3380STDY6001956,ERS576110,15056_3#71,ERR830544
3380STDY6001957,ERS576112,15056_3#72,ERR830545
3380STDY6001959,ERS576116,15056_3#74,ERR830547
3380STDY6001960,ERS576119,15056_3#75,ERR830548
3380STDY6001961,ERS576121,15056_3#76,ERR830549
3380STDY6001962,ERS576123,15056_3#77,ERR830550
3380STDY6001964,ERS576127,15056_3#79,ERR830552
3380STDY6001965,ERS576129,15056_3#80,ERR830553
3380STDY6001966,ERS576131,15056_3#81,ERR830554
3380STDY6001967,ERS576133,15056_3#82,ERR830555
3380STDY6001968,ERS576135,15056_3#83,ERR830556
3380STDY6001969,ERS576137,15056_3#84,ERR830557
3380STDY6001970,ERS576140,15056_3#85,ERR830558
3380STDY6001972,ERS576144,15056_4#1,ERR830560
3380STDY6001973,ERS576146,15056_4#2,ERR830561
3380STDY6001974,ERS576148,15056_4#3,ERR830562
